seed,pid,flavor,x,Q,bT,F_NP,ftilde,x_ftilde,b_ftilde,b_x_ftilde
1001,2,u,0.1,10.0,0.0,1.0,6.233225840916357,0.6233225840916358,0.0,0.0
1001,2,u,0.1,10.0,0.025,0.9999981711263084,6.23321444113383,0.6233214441133831,0.15583036102834577,0.01558303610283458
1001,2,u,0.1,10.0,0.05,0.9999963349077428,6.233203010424969,0.6233203010424969,0.31166015052124846,0.03116601505212485
1001,2,u,0.1,10.0,0.075,0.9999905666553651,6.2331766795228365,0.6233176679522837,0.4674882509642127,0.046748825096421275
1001,2,u,0.1,10.0,0.1,0.999984732218758,6.233976673249086,0.6233976673249086,0.6233976673249086,0.06233976673249087
1001,2,u,0.1,10.0,0.125,0.999974297080493,6.27891534507608,0.627891534507608,0.78486441813451,0.078486441813451
1001,2,u,0.1,10.0,0.15,0.9999637240159525,6.343048013589618,0.6343048013589618,0.9514572020384426,0.09514572020384426
1001,2,u,0.1,10.0,0.175,0.9999474176690103,6.383277840014791,0.6383277840014792,1.1170736220025883,0.11170736220025883
1001,2,u,0.1,10.0,0.2,0.9999308620886098,6.405905194196095,0.6405905194196095,1.281181038839219,0.12811810388392192
1001,2,u,0.1,10.0,0.225,0.999907051698837,6.416885963694052,0.6416885963694052,1.4437993418311619,0.1443799341831162
1001,2,u,0.1,10.0,0.25,0.999882825450556,6.416902022837269,0.641690202283727,1.6042255057093173,0.16042255057093174
1001,2,u,0.1,10.0,0.275,0.9998492295936542,6.408995883821534,0.6408995883821534,1.762473868050922,0.17624738680509222
1001,2,u,0.1,10.0,0.3,0.9998149634025087,6.395135262317201,0.6395135262317201,1.9185405786951601,0.191854057869516
1001,2,u,0.1,10.0,0.325,0.9997683724081654,6.3763572743462404,0.637635727434624,2.072316114162528,0.20723161141625282
1001,2,u,0.1,10.0,0.35,0.9997207195696082,6.353679607499729,0.6353679607499729,2.223787862624905,0.2223787862624905
1001,2,u,0.1,10.0,0.375,0.9996567680938446,6.327752690753248,0.6327752690753248,2.372907259032468,0.23729072590324682
1001,2,u,0.1,10.0,0.4,0.9995911676976952,6.299271373763242,0.6299271373763242,2.519708549505297,0.25197085495052973
1001,2,u,0.1,10.0,0.425,0.9995040300900325,6.268572605616983,0.6268572605616983,2.6641433573872177,0.2664143357387218
1001,2,u,0.1,10.0,0.45,0.9994143811513668,6.236210197203583,0.6236210197203583,2.8062945887416126,0.2806294588741613
1001,2,u,0.1,10.0,0.475,0.9992961744256608,6.20232251353601,0.620232251353601,2.9461031939296047,0.29461031939296045
1001,2,u,0.1,10.0,0.5,0.9991741844158697,6.16737802594732,0.6167378025947321,3.08368901297366,0.30836890129736605
1001,2,u,0.1,10.0,0.525,0.9990145038935254,6.131384534749482,0.6131384534749482,3.218976880743478,0.3218976880743478
1001,2,u,0.1,10.0,0.55,0.9988492145883743,6.094768772317477,0.6094768772317477,3.3521228247746127,0.33521228247746127
1001,2,u,0.1,10.0,0.5750000000000001,0.9986343791374408,6.057426478483749,0.605742647848375,3.483020225128156,0.3483020225128156
1001,2,u,0.1,10.0,0.6000000000000001,0.9984113377905329,6.019801250839848,0.6019801250839848,3.611880750503909,0.3611880750503909
1001,2,u,0.1,10.0,0.625,0.9981235270221264,5.981692193680725,0.5981692193680724,3.738557621050453,0.3738557621050453
1001,2,u,0.1,10.0,0.65,0.9978238679664878,5.943571126642214,0.5943571126642214,3.8633212323174395,0.38633212323174393
1001,2,u,0.1,10.0,0.675,0.9974402008846852,5.905166119164123,0.5905166119164124,3.9859871304357837,0.39859871304357836
1001,2,u,0.1,10.0,0.7000000000000001,0.997039668262778,5.867001903846612,0.5867001903846613,4.106901332692629,0.41069013326926285
1001,2,u,0.1,10.0,0.7250000000000001,0.9965310806633972,5.8286020268240115,0.5828602026824011,4.225736469447408,0.42257364694474087
1001,2,u,0.1,10.0,0.75,0.9959988141534214,5.790882275528159,0.579088227552816,4.34316170664612,0.43431617066461203
