dataset,row_id,qT,qT_low,qT_high,QM,qT_over_Q,w_fitted_pb_per_GeV,n_b,n_qT,n_y,elapsed_seconds,dyturbo_pb_per_GeV,external_fo_average_pb_per_GeV,profile_early_0p18_0p28,unitary_early_0p18_0p28_pb_per_GeV,profile_central_0p20_0p30,unitary_central_0p20_0p30_pb_per_GeV,profile_late_0p22_0p32,unitary_late_0p22_0p32_pb_per_GeV,mcfm_nlo_pb_per_GeV,mcfm_nlo_mc_unc_pb_per_GeV,CS,error,norm_scale,nlo_unitary_early_0p18_0p28_pb_per_GeV,early_0p18_0p28_accepted_norm_prediction,early_0p18_0p28_pull,nlo_unitary_central_0p20_0p30_pb_per_GeV,central_0p20_0p30_accepted_norm_prediction,central_0p20_0p30_pull,nlo_unitary_late_0p22_0p32_pb_per_GeV,late_0p22_0p32_accepted_norm_prediction,late_0p22_0p32_pull
CDF_RUN_1,CDF_RUN_1:30,18.5,18.0,19.0,91.0,0.2032967032967033,1.4203858291435538,640,2,2,162.9827894931659,1.771832503581543,1.7436562517907714,0.0892391852052237,1.44923421826154,0.0012197116639461,1.4207801258486654,0.0,1.4203858291435538,2.72209,0.077078,3.51,0.35,1.0322544574737549,1.5365488487290244,1.5861093982267018,-5.496830290780852,1.4219735329037546,1.4678385177496038,-5.8347470921439895,1.4203858291435538,1.4661996034659885,-5.839429704382889
CDF_RUN_1,CDF_RUN_1:31,19.5,19.0,20.0,91.0,0.2142857142857142,1.1109215010666365,640,2,2,162.30017505027354,1.5986571367086782,1.596703568354339,0.2263136792031131,1.2208606280054108,0.0258850748744865,1.1234960062510615,0.0,1.1109215010666365,2.51472,0.048183,3.01,0.33,1.0322544574737549,1.4286203042200536,1.474699677068662,-4.652425221004053,1.1472589303202183,1.1842631446996172,-5.532535925152674,1.1109215010666365,1.1467536713794702,-5.646200995819786
CDF_RUN_1,CDF_RUN_1:32,21.0,20.0,22.0,91.0,0.2307692307692307,0.8712560665825781,640,2,2,161.83266932098195,1.381402249477195,1.3771886247385976,0.5139631863662977,1.131286776258898,0.1831302917603498,0.96390764356875,0.0193207037777613,0.8810310396702357,2.180565,0.022616,2.63,0.22,1.0322544574737549,1.544192657939655,1.5939997543564541,-4.709092025652481,1.1110301935637432,1.1468658696941025,-6.741518774117715,0.8965528366387128,0.9254706619810504,-7.747860627358861
CDF_RUN_1,CDF_RUN_1:33,23.0,22.0,24.0,91.0,0.2527472527472527,0.8005267611961453,640,2,2,164.79221433075145,1.146713864971177,1.1328969324855884,0.8606209544870957,1.0865714952543053,0.549777686123881,0.9832564649042532,0.2102966915212009,0.8704231085786501,1.75218,0.018967,1.82,0.18,1.0322544574737549,1.6195394799162548,1.6717768471982808,-0.8234619600095515,1.3237244768180259,1.3664204916625213,-2.5198861574304376,1.0006562887920314,1.0329319145047193,-4.372600474973782
CDF_RUN_1,CDF_RUN_1:34,25.0,24.0,26.0,91.0,0.2747252747252747,0.6543922627357659,640,2,2,162.0466653322801,0.961990310060362,0.960405155030181,0.9935104948187734,0.9584192827801142,0.8825037510074896,0.924449788042238,0.5852865232044726,0.8334974845225088,1.478605,0.0163275,1.85,0.18,1.0322544574737549,1.4732562671710907,1.5207753487885036,-1.8290258400638693,1.381763094999603,1.4263311139860715,-2.3537160334107146,1.136792870109991,1.1734595073954215,-3.7585582922476592
CDF_RUN_1,CDF_RUN_1:35,27.0,26.0,28.0,91.0,0.2967032967032967,0.38924631908756,640,2,2,162.37279510078952,0.8142763127478275,0.8141381563739137,1.0,0.8141381563739137,0.9960358801988642,0.8124538342283859,0.9023365088655396,0.7726417361899934,1.20233,0.0139085,1.58,0.17,1.0322544574737549,1.20233,1.2411105018544195,-1.9934676361504737,1.1991068388805146,1.2377833794216748,-2.013038944578384,1.1229214091376334,1.1591406299750322,-2.475643353088046
CDF_RUN_2,CDF_RUN_2:36,18.25,18.0,18.5,91.0,0.2005494505494505,1.8181198707429544,640,2,2,160.21484633907676,2.062362137015582,2.057001068507791,0.0629515791727313,1.833157819376924,5.164127530589625e-05,1.818132206872653,0.0,1.8181198707429544,3.27554,0.107546,3.757,0.167370846,0.984582781791687,1.9098667693978115,1.8804219366651997,-11.212096420512808,1.8181951337770859,1.7901636226543518,-11.751367841838169,1.8181198707429544,1.7900895199668405,-11.751810587329885
CDF_RUN_2,CDF_RUN_2:37,18.75,18.5,19.0,91.0,0.206043956043956,1.6225600951326615,640,2,2,161.0656622950919,1.9581025410298127,1.9372062705149065,0.1155267912377162,1.658910158149792,0.0023877817219835,1.6233114015191312,0.0,1.6225600951326615,2.91722,0.100938,3.753,0.171268795,0.984582781791687,1.772127999686112,1.7448067156218898,-11.725389230292128,1.6256514603896888,1.6005884370941983,-12.567447344426062,1.6225600951326615,1.5975447320899,-12.58521885384959
CDF_RUN_2,CDF_RUN_2:38,19.25,19.0,19.5,91.0,0.2115384615384615,1.4488916053660303,640,2,2,160.68087729113176,1.8609204530711416,1.849095226535571,0.1846215696118183,1.5227778260706843,0.0134170653158552,1.454261163490904,0.0,1.4488916053660303,2.90854,0.117104,3.586,0.166928128,0.984582781791687,1.7183741830647246,1.6918816333208841,-11.346909531502778,1.4684758032150176,1.445835991323224,-12.820871079778573,1.4488916053660303,1.4265537273259092,-12.936383451649863
CDF_RUN_2,CDF_RUN_2:39,19.75,19.5,20.0,91.0,0.217032967032967,1.3039285955642574,640,2,2,158.7400107420981,1.770194969801309,1.7567844849006544,0.2680057887944079,1.4252965953960517,0.0383530844331178,1.321297015724011,0.0,1.3039285955642574,2.8682,0.084664,3.303,0.157708592,0.984582781791687,1.7231623871985948,1.6965960166667966,-10.185900228778932,1.3639232288148933,1.3428953267768673,-12.428648613026311,1.3039285955642574,1.2838256438783842,-12.803198167678877
CDF_RUN_2,CDF_RUN_2:40,20.25,20.0,20.5,91.0,0.2225274725274725,1.1916541986652702,640,2,2,158.69730169093236,1.685372152353209,1.681909076176605,0.3622378472320013,1.3692430700899645,0.0798964211082592,1.230823808809294,0.0003303151612864,1.1918161372842069,2.4889,0.11484,2.952,0.14513442,0.984582781791687,1.6615657250715152,1.635949003720634,-9.067807597118355,1.295299495489631,1.2753295805225497,-11.552534674251982,1.1920826986213662,1.173704099534366,-12.252750935757584
CDF_RUN_2,CDF_RUN_2:41,20.75,20.5,21.0,91.0,0.228021978021978,1.1125900262246775,640,2,2,161.4555472871289,1.60595717742273,1.585528588711365,0.4630252256673241,1.331572510846856,0.1385843072813845,1.178131889293549,0.0050271675971199,1.1149675676414392,2.31978,0.103576,2.923,0.14611297,0.984582781791687,1.6715494362553274,1.6457787938505963,-8.74132670186229,1.2798876124973635,1.260155305893375,-11.380541331181105,1.1186587725444088,1.101412166147448,-12.466982457837602
CDF_RUN_2,CDF_RUN_2:42,21.25,21.0,21.5,91.0,0.2335164835164835,1.0633557660330513,640,2,2,159.12112874956802,1.5315057123848688,1.5089018561924343,0.5655850454883751,1.3153499717030137,0.2131511831472797,1.1583244422971684,0.0206005434885857,1.072534257639549,2.33764,0.082404,2.877,0.147091808,0.984582781791687,1.7840718724663671,1.7565664471092395,-7.617239655458993,1.3349709581690314,1.3143894196051789,-10.623369184467574,1.0896067138117067,1.0728080093436287,-12.265754396440427
CDF_RUN_2,CDF_RUN_2:43,21.75,21.5,22.0,91.0,0.239010989010989,1.0369621416198953,640,2,2,159.9361651930958,1.4616190350231215,1.4587785175115608,0.6650046270774903,1.317471983364911,0.3008892555044757,1.1638821569215343,0.0513247888893216,1.058611778062594,2.08436,0.068338,2.603,0.136693087,0.984582781791687,1.733486563833719,1.7067610232179158,-6.55657865698859,1.3521129034448673,1.331267083770182,-9.303564241180815,1.090719615584382,1.0739037532668303,-11.186346583373085
CDF_RUN_2,CDF_RUN_2:44,22.25,22.0,22.5,91.0,0.2445054945054945,1.0239721388640777,640,2,2,160.91868573287502,1.3959375160054073,1.3708067580027037,0.7566020481604062,1.286387922077297,0.3980090561043118,1.1620154582517408,0.0990801434780254,1.058336562691479,2.07474,0.077184,2.624,0.141598023,0.984582781791687,1.8189852547406458,1.7909415621506055,-5.883263199581499,1.4421872634595325,1.4199527477215272,-8.503277282893087,1.1280823693075226,1.1106904772629578,-10.687363359141267
CDF_RUN_2,CDF_RUN_2:45,22.75,22.5,23.0,91.0,0.25,1.014240401850422,640,2,2,162.0161989335902,1.3341364793760424,1.3221172396880212,0.8362867021553243,1.2717137072356377,0.4999999999999999,1.1681788207692216,0.1637132978446752,1.0646439343028056,1.95146,0.080926,2.59,0.14239382,0.984582781791687,1.7980246887822708,1.7703041498113805,-5.756540910192727,1.482850200925211,1.4599887758073062,-7.935816485523695,1.1676757130681508,1.1496734018032315,-10.115092060854666
CDF_RUN_2,CDF_RUN_2:46,23.25,23.0,23.5,91.0,0.2554945054945055,0.9987231438846924,640,2,2,159.02517833281308,1.2759223289692334,1.2675391644846168,0.9009198565219744,1.2409048345943845,0.6019909438956881,1.1605479538599237,0.2433979518395934,1.064152412720384,1.909664,0.06332,2.516,0.141410749,0.984582781791687,1.8194078492760999,1.7913576414538928,-5.12437960813083,1.5471012896906926,1.5232492915171687,-7.020334136571409,1.220444282510164,1.2016284266956168,-9.29470766967215
CDF_RUN_2,CDF_RUN_2:47,23.75,23.5,24.0,91.0,0.260989010989011,0.970889694329632,640,2,2,160.04590787366033,1.2210284376660123,1.2070002188330062,0.9486752111106782,1.1948818960083236,0.6991107444955241,1.135957098898415,0.3349953729225092,1.049985627536569,1.854624,0.06058,2.2,0.125936492,0.984582781791687,1.8092665233272172,1.7813726665400857,-3.3241146137365365,1.588717842703078,1.5642242330506844,-5.0483839660176955,1.2669365976220917,1.2474039596404543,-7.564098580414212
CDF_RUN_2,CDF_RUN_2:48,24.25,24.0,24.5,91.0,0.2664835164835165,0.9274718906494208,640,2,2,160.00909425178543,1.1692129429334288,1.1404494714667144,0.979399456511414,1.136062017550994,0.7868488168527201,1.095053048131663,0.4344149545116246,1.0199925367321612,1.824972,0.057788,1.948,0.114756263,0.984582781791687,1.8064830099663127,1.7786320672120521,-1.475892716966113,1.633668789817111,1.6084821616043898,-2.9585996399657084,1.317359359827131,1.2970493431179126,-5.672463008682039
CDF_RUN_2,CDF_RUN_2:49,24.75,24.5,25.0,91.0,0.2719780219780219,0.8685232510217766,640,2,2,162.38026326708496,1.1202553830646227,1.1062926915323112,0.99497283240288,1.105097384705391,0.8614156927186152,1.0733415783264764,0.5369747743326755,0.9961994426831275,1.69753,0.062856,2.179,0.130862523,0.984582781791687,1.693362444133743,1.6672555058267708,-3.910550419184788,1.58264267396126,1.5582427265110113,-4.743583260189692,1.313678962974623,1.293425687746773,-6.767211054407279
CDF_RUN_2,CDF_RUN_2:50,25.5,25.0,26.0,91.0,0.2802197802197802,0.7572395122470231,640,2,2,159.36697280406952,1.052041235718114,1.039785617859057,0.9998348419300568,1.0397389530895842,0.9408752472293116,1.0230801492184247,0.6848781819867951,0.950749175386042,1.6449,0.037119,2.032,0.087555697,0.984582781791687,1.644753395707078,1.619395873706598,-4.712476063018514,1.5924172931172966,1.567866648230616,-5.3010068753079995,1.3651788133207936,1.3441315536624612,-7.856352812056751
