row_id,dataset,local_index,qT,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,A,PreFactor,CS,dA,error,frac_error,sysNorm,sysP2P,W_CS_baseline,Y_CS,matched_CS_baseline,data_over_baseline,rel_residual,qT_over_Q,FO_NLO_real_dev_raw_CS,nlo_real_tail_repair,nlo_real_tail_repair_factor,FO_NLO_real_dev_CS,singular_NLO_dev_CS,raw_Y_NLO_dev_CS,raw_Y_positive,nlo_y_component,component_Y_CS,tail_switch,Y_unclipped_CS,Y_was_clipped,Y_over_W,FO_over_singular,nlo_singular_mode,nlo_singular_rsub,nlo_singular_power,nlo_singular_damp_kind,nlo_singular_damping,nlo_real_convention,nlo_singular_convention,nlo_alpha_convention,error_original,collins_sigma_factorization,collins_delta_rel,collins_turn_on,collins_r0,collins_width,collins_lambda,collins_power,collins_dataset_qmax,collins_error_inflation,source_file,sysNorm_rel,sysP2P_rel,sigma_uncorr,norm_rel,ptp_rel_used,norm_rel_used,target_used,sigma_used,Y_CS_used,dataset_norm_factor,pred_W_CS_raw_before_dataset_norm,pred_match_CS_raw_before_dataset_norm,pred_W_CS,pred_match_CS,pull
CDF_RUN_1:16,CDF_RUN_1,16,8.25,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,11.9,1.0,11.9,0.9,0.9,,3.9%,,16.78617536125678,0.0,16.78617536125678,0.7089166974548422,5.4290837347297565,0.0906593406593406,6.825751929711903,mcfm_logistic,1.0,6.825751929711903,-31.38250624377336,38.20825817348526,True,raw,38.20825817348526,0.0,0.0,False,0.0,-0.2175018106167416,asymptotic_damped,0.1,2.0,exp,0.4395905274140049,base,base,alpha_over_pi,0.9,0.0,0.0,0.0,0.1,0.05,0.5,2.0,0.2,1.0,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,0.9,0.039,0.0,0.039,11.9,0.9,0.0,1.0322545,11.196217,11.196217,11.557344,11.557344,-0.38072798
CDF_RUN_1:17,CDF_RUN_1,17,8.75,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,10.4,1.0,10.4,0.9,0.9,,3.9%,,8.365620195214381,0.0,8.365620195214381,1.2431833811854622,-2.2604220053173543,0.0961538461538461,7.328512372703951,mcfm_logistic,1.0,7.328512372703951,-4.154897496533262,11.483409869237214,True,raw,11.483409869237214,0.0,0.0,False,0.0,-1.7638250712126282,asymptotic_damped,0.1,2.0,exp,0.3967074336104218,base,base,alpha_over_pi,0.9,0.0,0.0,0.0,0.1,0.05,0.5,2.0,0.2,1.0,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,0.9,0.039,0.0,0.039,10.4,0.9,0.0,1.0322545,10.132279,10.132279,10.45909,10.45909,0.06565624
CDF_RUN_1:18,CDF_RUN_1,18,9.25,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,11.1,1.0,11.1,0.9,0.9001857501597729,,3.9%,,-4.270785741827628,-0.0,-4.270785741827628,-2.599053352475111,-17.07865082425292,0.1016483516483516,7.83980422851625,mcfm_logistic,1.0,7.83980422851625,29.284998992923427,-21.445194764407177,False,raw,-21.445194764407177,0.0,-0.0,False,0.0,0.2677071708423381,asymptotic_damped,0.1,2.0,exp,0.3558525784821302,base,base,alpha_over_pi,0.9,0.0182861912576967,0.0016474046178105,0.0031888169794217,0.1,0.05,0.5,2.0,0.2,1.0002063890664143,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,0.9001857501597729,0.039,0.0,0.039,11.1,0.90018576,-0.0,1.0322545,9.148882,9.148882,9.4439745,9.4439745,-1.8396491
CDF_RUN_1:19,CDF_RUN_1,19,9.75,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,9.56,1.0,9.56,0.82,0.8745230531216311,,3.9%,,18.2410282315063,0.0,18.2410282315063,0.5240932626532402,10.586619794519876,0.1071428571428571,8.359352399078393,mcfm_logistic,1.0,8.359352399078393,-29.1543370710978,37.51368947017619,True,raw,37.51368947017619,0.0,0.0,False,0.0,-0.2867275760272886,asymptotic_damped,0.1,2.0,exp,0.3172836267015646,base,base,alpha_over_pi,0.82,0.3039581721901543,0.0317947878859994,0.0553935860058301,0.1,0.05,0.5,2.0,0.2,1.0664915281971112,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,0.8745230531216311,0.039,0.0,0.039,9.56,0.87452304,0.0,1.0322545,8.261139,8.261139,8.527597,8.527597,-1.1805326
CDF_RUN_1:20,CDF_RUN_1,20,10.25,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,8.35,1.0,8.35,0.76,1.1358059663466311,,3.9%,,-0.350009448297079,-0.0,-0.350009448297079,-23.85649884774749,-11.447380853022471,0.1126373626373626,8.886878366846142,mcfm_logistic,1.0,8.886878366846142,12.59361083869948,-3.7067324718533374,False,raw,-3.7067324718533374,0.0,-0.0,False,0.0,0.7056656332064232,asymptotic_damped,0.1,2.0,exp,0.2811920064005997,base,base,alpha_over_pi,0.76,0.844070609124974,0.1010863004940088,0.1593519389679263,0.1,0.05,0.5,2.0,0.2,1.4944815346666198,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,1.1358059663466311,0.039,0.0,0.039,8.35,1.135806,-0.0,1.0322545,7.466018,7.466018,7.7068305,7.7068305,-0.5662674
CDF_RUN_1:21,CDF_RUN_1,21,10.75,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,7.82,1.0,7.82,0.74,1.7921548103024818,,3.9%,,-0.2182593056762249,-0.0,-0.2182593056762249,-35.82894198151861,-10.862512575238142,0.1181318681318681,9.422091173125793,mcfm_logistic,1.0,9.422091173125793,9.761936333959754,-0.3398451608339616,False,raw,-0.3398451608339616,0.0,-0.0,False,0.0,0.9651867058739452,asymptotic_damped,0.1,2.0,exp,0.2477057258137517,base,base,alpha_over_pi,0.74,1.6322435063710083,0.2087267910960368,0.2991396961931911,0.1,0.05,0.5,2.0,0.2,2.4218308247330835,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,1.7921548103024818,0.039,0.0,0.039,7.82,1.7921548,-0.0,1.0322545,6.7490044,6.7490044,6.96669,6.96669,-0.4761364
CDF_RUN_1:22,CDF_RUN_1,22,11.25,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,8.18,1.0,8.18,0.76,2.9671215834840545,,3.9%,,14.943944150469488,0.0,14.943944150469488,0.5473789193559728,8.899926513775641,0.1236263736263736,9.96469583688146,mcfm_logistic,1.0,9.96469583688146,-17.35230205799558,27.31699789487704,True,raw,27.31699789487704,0.0,0.0,False,0.0,-0.5742578594803758,asymptotic_damped,0.1,2.0,exp,0.2168936743227202,base,base,alpha_over_pi,0.76,2.868137111641792,0.3506280087581653,0.4588326780091051,0.1,0.05,0.5,2.0,0.2,3.904107346689545,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,2.9671215834840545,0.039,0.0,0.039,8.18,2.9671216,0.0,1.0322545,6.093592,6.093592,6.290138,6.290138,-0.63693464
CDF_RUN_1:23,CDF_RUN_1,23,11.75,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,7.48,1.0,7.48,0.72,3.9477925804501015,,3.9%,,-6.718990763438017,-0.0,-6.718990763438017,-1.1132624323139546,-19.720820504775023,0.1291208791208791,10.514398119485648,mcfm_logistic,1.0,10.514398119485648,15.087097702533676,-4.572699583048028,False,raw,-4.572699583048028,0.0,-0.0,False,0.0,0.6969132385031148,asymptotic_damped,0.1,2.0,exp,0.1887710936811681,base,base,alpha_over_pi,0.72,3.881580381527204,0.5189278584929417,0.6225067047431491,0.1,0.05,0.5,2.0,0.2,5.483045250625141,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,3.9477925804501015,0.039,0.0,0.039,7.48,3.9477925,-0.0,1.0322545,5.4887524,5.4887524,5.665789,5.665789,-0.4595507
CDF_RUN_1:24,CDF_RUN_1,24,12.5,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,7.21,1.0,7.21,0.53,5.742675113139362,,3.9%,,-8.25362984530917,-0.0,-8.25362984530917,-0.8735550460986202,-29.176660085489,0.1373626373626373,11.351626009262018,mcfm_logistic,1.0,11.351626009262018,13.081439406555276,-1.729813397293258,False,raw,-1.729813397293258,0.0,-0.0,False,0.0,0.8677658212118136,asymptotic_damped,0.1,2.0,exp,0.1515485240854367,base,base,alpha_over_pi,0.53,5.718165567301299,0.7930881508046185,0.8406480610320709,0.1,0.05,0.5,2.0,0.2,10.835236062527098,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,5.742675113139362,0.039,0.0,0.039,7.21,5.7426753,-0.0,1.0322545,4.6721354,4.6721354,4.8228326,4.8228326,-0.41568908
CDF_RUN_1:25,CDF_RUN_1,25,13.5,91.0,66.0,116.0,0.0,,,,,,0.050555556,0.050555556,1800.0,,6.05,1.0,6.05,0.47,6.652877107587863,,3.9%,,6.274470312019426,0.0,6.274470312019426,0.9642248188521302,0.4775964085519712,0.1483516483516483,12.490001128373065,mcfm_logistic,1.0,12.490001128373065,-3.1347531701583344,15.6247542985314,True,raw,15.6247542985314,0.0,0.0,False,0.0,-3.984365100025468,asymptotic_damped,0.1,2.0,exp,0.1107122089351523,base,base,alpha_over_pi,0.47,6.636254501499069,1.096901570495714,0.9968111830205776,0.1,0.05,0.5,2.0,0.2,14.155057675718858,/home/dustin/work/project/bT-TMD/systematics/collins_factorization_validity/data/rowidfix_stageFT_all_qmax0p20_lam0p50/CDF_RUN_1.csv,0.039,0.0,6.652877107587863,0.039,0.0,0.039,6.05,6.6528773,0.0,1.0322545,3.7747803,3.7747803,3.8965337,3.8965337,-0.3236895
