row_id,dataset,local_index,qT,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,A,PreFactor,CS,dA,error,frac_error,sysNorm,sysP2P,bT,Wpert_CS
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.0001,1.350570208638647
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.0504138364779874,1.3505702086388434
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.1007276729559748,1.3505702209768031
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.1510415094339622,1.3505779163011131
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.2013553459119496,1.351280989037404
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.2516691823899371,1.3708895443700675
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.3019830188679245,1.466092492833465
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.3522968553459119,1.567252271798514
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.4026106918238993,1.6576931132286663
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.4529245283018868,1.737955488845534
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.5032383647798742,1.8093557489950995
E288_200:0,E288_200,0,0.1,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,1.590909091,3.953714286,0.32,0.201142857,0.050874404,15%,0.00%,0.5535522012578616,1.87300806392442
